logged_at,action,balance,equity,position,price,pnl,reason,candle_open_time,prediction,probability_up,confidence
2026-05-11T06:23:22.219461+00:00,OPEN,100.0,100.0,DOWN,80824.52,0.0,new_signal,2026-05-11T06:15:00+00:00,DOWN,0.26174904443069924,0.7382509555693008
2026-05-11T06:23:42.347463+00:00,KEEP,100.0,100.0,DOWN,80824.52,0.0,same_signal,2026-05-11T06:15:00+00:00,DOWN,0.26174904443069924,0.7382509555693008
2026-05-11T06:24:02.483496+00:00,KEEP,100.0,100.0,DOWN,80824.52,0.0,same_signal,2026-05-11T06:15:00+00:00,DOWN,0.26174904443069924,0.7382509555693008
2026-05-11T06:24:22.595560+00:00,KEEP,100.0,100.0,DOWN,80824.52,0.0,same_signal,2026-05-11T06:15:00+00:00,DOWN,0.26174904443069924,0.7382509555693008
2026-05-11T06:24:42.710744+00:00,KEEP,100.0,100.0,DOWN,80824.52,0.0,same_signal,2026-05-11T06:15:00+00:00,DOWN,0.26174904443069924,0.7382509555693008
2026-05-11T06:25:02.877595+00:00,CLOSE,99.9668466945427,99.9668466945427,DOWN,80958.5,-0.033153305457305215,candle_closed,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:25:02.877595+00:00,OPEN,99.9668466945427,99.9668466945427,UP,80958.5,0.0,new_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:25:22.980849+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:25:43.117410+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:26:03.238299+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:26:23.354692+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
2026-05-11T06:26:43.465734+00:00,KEEP,99.9668466945427,99.9668466945427,UP,80958.5,0.0,same_signal,2026-05-11T06:20:00+00:00,UP,0.782632258942464,0.782632258942464
